file,name,bytes,mb,mb_lbl
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__2.netcdf,hierarchical_pymc3_10-10-2__2,4124338,4.124338,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__3.netcdf,hierarchical_pymc3_10-10-2__3,4015972,4.015972,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__4.netcdf,hierarchical_pymc3_10-10-2__4,4112995,4.112995,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__5.netcdf,hierarchical_pymc3_10-10-2__5,4211590,4.21159,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__6.netcdf,hierarchical_pymc3_10-10-2__6,4227155,4.227155,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__7.netcdf,hierarchical_pymc3_10-10-2__7,4224445,4.224445,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__8.netcdf,hierarchical_pymc3_10-10-2__8,4125743,4.125743,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-2__9.netcdf,hierarchical_pymc3_10-10-2__9,4132023,4.132023,4 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5.pkl,hierarchical_pymc3_10-10-5,7171926,7.171926,7 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__1.netcdf,hierarchical_pymc3_10-10-5__1,5899169,5.899169,5 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__10.netcdf,hierarchical_pymc3_10-10-5__10,6014157,6.014157,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__2.netcdf,hierarchical_pymc3_10-10-5__2,5809983,5.809983,5 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__3.netcdf,hierarchical_pymc3_10-10-5__3,6029581,6.029581,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__4.netcdf,hierarchical_pymc3_10-10-5__4,5896474,5.896474,5 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__5.netcdf,hierarchical_pymc3_10-10-5__5,6017547,6.017547,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__6.netcdf,hierarchical_pymc3_10-10-5__6,6039350,6.03935,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__7.netcdf,hierarchical_pymc3_10-10-5__7,6049090,6.04909,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__8.netcdf,hierarchical_pymc3_10-10-5__8,6106674,6.106674,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10-5__9.netcdf,hierarchical_pymc3_10-10-5__9,6094124,6.094124,6 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5.pkl,hierarchical_pymc3_10-100-5,64794978,64.794978,64 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__1.netcdf,hierarchical_pymc3_10-100-5__1,56903312,56.903312,56 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__10.netcdf,hierarchical_pymc3_10-100-5__10,57062116,57.062116,57 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__2.netcdf,hierarchical_pymc3_10-100-5__2,57660374,57.660374,57 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__3.netcdf,hierarchical_pymc3_10-100-5__3,55988643,55.988643,55 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__4.netcdf,hierarchical_pymc3_10-100-5__4,56901642,56.901642,56 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__5.netcdf,hierarchical_pymc3_10-100-5__5,57553357,57.553357,57 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__6.netcdf,hierarchical_pymc3_10-100-5__6,57047536,57.047536,57 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__7.netcdf,hierarchical_pymc3_10-100-5__7,56827996,56.827996,56 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__8.netcdf,hierarchical_pymc3_10-100-5__8,57067313,57.067313,57 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-100-5__9.netcdf,hierarchical_pymc3_10-100-5__9,56504375,56.504375,56 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5.pkl,hierarchical_pymc3_10-1000-5,641025402,641.025402,641 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__1.netcdf,hierarchical_pymc3_10-1000-5__1,568619239,568.619239,568 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__10.netcdf,hierarchical_pymc3_10-1000-5__10,560946887,560.946887,560 MB
